Target,Reporter Countries,Source,Partner Countries,Element,Item Code,Item,Unit,Value,Value_scaled,Link Color,Commodity,,,,,,
32,Poland,11,Slovakia,Import Quantity,662,"Cocoa, paste",tonnes,2062,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
24,France,7,Spain,Import Quantity,662,"Cocoa, paste",tonnes,2161,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,8,France,Import Quantity,662,"Cocoa, paste",tonnes,2273,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
39,Croatia,8,France,Import Quantity,662,"Cocoa, paste",tonnes,2311,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
28,Finland,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,2346,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
29,Bulgaria,11,Slovakia,Import Quantity,662,"Cocoa, paste",tonnes,2421,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,12,Denmark,Processed,23610.01,"Cocoa, paste",tonnes,2686,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
27,Sweden,3,Belgium,Import Quantity,662,"Cocoa, paste",tonnes,2861,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,8,France,Import Quantity,662,"Cocoa, paste",tonnes,2980,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,4,Côte d'Ivoire,Import Quantity,662,"Cocoa, paste",tonnes,3183,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
29,Bulgaria,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,3206,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,3708,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
40,Czechia,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,3716,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,15,Sweden,Processed,23610.01,"Cocoa, paste",tonnes,3813,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,3904,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
24,France,3,Belgium,Import Quantity,662,"Cocoa, paste",tonnes,4088,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,4130,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,8,France,Import Quantity,662,"Cocoa, paste",tonnes,4341,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,8,France,Import Quantity,662,"Cocoa, paste",tonnes,4632,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,5062,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
31,Spain,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,5557,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,18,Greece,Processed,23610.01,"Cocoa, paste",tonnes,5736,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,19,Bulgaria,Processed,23610.01,"Cocoa, paste",tonnes,6130,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,4,Côte d'Ivoire,Import Quantity,662,"Cocoa, paste",tonnes,6714,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,7260,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
24,France,6,Poland,Import Quantity,662,"Cocoa, paste",tonnes,7745,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,5,Austria,Processed,23610.01,"Cocoa, paste",tonnes,7882,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,4,Côte d'Ivoire,Import Quantity,662,"Cocoa, paste",tonnes,8043,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,4,Côte d'Ivoire,Import Quantity,662,"Cocoa, paste",tonnes,8231,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,1,Germany,Import Quantity,662,"Cocoa, paste",tonnes,8659,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,1,Germany,Import Quantity,662,"Cocoa, paste",tonnes,8930,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
24,France,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,9170,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
24,France,1,Germany,Import Quantity,662,"Cocoa, paste",tonnes,10916,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,1,Germany,Import Quantity,662,"Cocoa, paste",tonnes,11623,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,1,Germany,Import Quantity,662,"Cocoa, paste",tonnes,11747,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,14332,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,8,France,Import Quantity,662,"Cocoa, paste",tonnes,14984,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
24,France,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,18097,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,24484,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,26083,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
24,France,4,Côte d'Ivoire,Import Quantity,662,"Cocoa, paste",tonnes,38154,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,6,Poland,Processed,23610.01,"Cocoa, paste",tonnes,45866,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,60332,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
